                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1313,                 7.1059,                 3.6568,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.083712,               0.016288,               0.016288
                      2,                 2.9679,                 3.9271,                 3.1913,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.067043,               0.032953,               0.032953
                      3,                 2.8557,                 3.7409,                 3.1892,                0.33416,                0.36455,                0.00097,                0.00033,                    nan,                    nan,                    nan,               0.050367,               0.049609,               0.049609
                      4,                 2.7259,                 3.5376,                 3.1859,                0.33416,                0.36455,                0.00097,                0.00033,                 3.3142,                 5.2965,                 5.5633,               0.049973,               0.049973,               0.049973
                      5,                  2.632,                  3.542,                  3.103,                  1e-05,                0.00412,                      0,                      0,                 2.8471,                 13.703,                 5.8494,               0.049973,               0.049973,               0.049973
                      6,                 2.5464,                 3.3893,                 3.0642,                0.00936,                 0.5239,                0.02587,                0.01029,                 2.1881,                 3.5767,                 3.1171,               0.049951,               0.049951,               0.049951
                      7,                 2.4581,                 3.3383,                 2.9939,                0.78326,                0.06173,                0.00975,                0.00384,                 2.5277,                 22.383,                 3.7612,               0.049924,               0.049924,               0.049924
                      8,                 2.3957,                  3.288,                 2.9528,                0.04907,                0.53874,                0.09695,                0.02926,                 2.1105,                 3.9669,                 3.0506,                0.04989,                0.04989,                0.04989
                      9,                 2.3726,                 3.2437,                 2.9344,                  0.568,                0.20185,                0.01377,                0.00516,                 2.0448,                 14.162,                 3.0661,               0.049851,               0.049851,               0.049851
                     10,                 2.2927,                 3.2142,                 2.8586,                0.00473,                0.96955,                0.07747,                0.03521,                 2.4613,                 3.6851,                 3.2708,               0.049805,               0.049805,               0.049805
                     11,                 2.2139,                 3.1827,                 2.7887,                0.00694,                0.62369,                0.10395,                0.04321,                    nan,                    nan,                    nan,               0.049753,               0.049753,               0.049753
                     12,                 2.1216,                 3.0582,                  2.667,                0.00536,                 0.2415,                0.02401,                0.01268,                 2.4805,                 4.4792,                 3.2196,               0.049695,               0.049695,               0.049695
                     13,                 2.0446,                 2.9605,                 2.6075,                0.77878,                0.00412,                0.03363,                0.01176,                 2.4649,                 4.3331,                 3.3018,               0.049631,               0.049631,               0.049631
                     14,                 2.0654,                 2.9792,                 2.5884,                0.00631,                0.94033,                0.04466,                0.01582,                 1.9776,                 3.3928,                 2.9148,               0.049562,               0.049562,               0.049562
                     15,                 1.9972,                 3.0059,                 2.5577,                0.83207,                0.12181,                0.06625,                0.02931,                 2.2706,                 24.506,                 3.2497,               0.049486,               0.049486,               0.049486
                     16,                 1.9662,                 2.9266,                 2.4964,                0.56778,                0.03704,                0.07874,                0.03189,                 2.0781,                 4.1425,                 3.0848,               0.049404,               0.049404,               0.049404
                     17,                 1.8659,                 2.7755,                 2.4094,                0.68808,                0.01646,                0.01849,                0.00388,                 2.7223,                  4.432,                 3.5648,               0.049316,               0.049316,               0.049316
                     18,                 1.8274,                 2.7976,                  2.395,                0.00757,                0.79927,                0.02409,                0.01124,                 1.7865,                 3.8051,                 2.6888,               0.049222,               0.049222,               0.049222
                     19,                 1.7936,                 2.7243,                 2.3558,                0.01219,                0.65708,                0.06366,                0.02707,                 2.0302,                  3.709,                 2.8724,               0.049123,               0.049123,               0.049123
                     20,                 1.7986,                 2.6663,                 2.3717,                0.16364,                0.26723,                0.08062,                 0.0365,                 1.9452,                 3.4215,                 2.8305,               0.049017,               0.049017,               0.049017
                     21,                 1.8075,                 2.7674,                 2.3506,                0.80526,                0.05082,                0.03456,                0.00992,                 2.0264,                 3.5153,                 2.9819,               0.048906,               0.048906,               0.048906
                     22,                 1.7534,                 2.6712,                 2.3005,                0.72064,                0.08435,                0.08989,                 0.0466,                  1.438,                 2.8736,                 2.2882,               0.048789,               0.048789,               0.048789
                     23,                 1.7662,                 2.6585,                 2.3075,                0.01754,                0.94877,                0.11932,                0.05272,                 1.8727,                 3.1765,                 2.7234,               0.048666,               0.048666,               0.048666
                     24,                 1.6831,                 2.6249,                 2.2349,                0.58024,                0.05022,                0.05492,                0.03025,                 1.5332,                 3.0587,                 2.3681,               0.048537,               0.048537,               0.048537
                     25,                 1.6195,                 2.5681,                 2.1857,                0.61133,                0.08617,                0.10189,                0.03668,                  1.796,                 3.5369,                  2.555,               0.048402,               0.048402,               0.048402
                     26,                 1.6111,                 2.5348,                 2.1736,                0.01332,                0.75185,                0.08912,                0.04771,                 2.2543,                 3.5955,                 3.1499,               0.048262,               0.048262,               0.048262
                     27,                 1.5952,                 2.5233,                 2.1695,                0.12379,                0.43848,                 0.0481,                0.01625,                 2.0133,                 6.8342,                 2.9126,               0.048116,               0.048116,               0.048116
                     28,                 1.5474,                 2.4716,                 2.1089,                0.29986,                0.33403,                0.12732,                0.05395,                 1.8871,                 3.1064,                 2.6594,               0.047964,               0.047964,               0.047964
                     29,                  1.519,                 2.4443,                 2.0781,                0.61119,                0.03645,                0.08626,                0.05079,                 2.1806,                 3.4086,                 2.8872,               0.047807,               0.047807,               0.047807
                     30,                 1.4907,                 2.3696,                 2.0307,                0.05049,                0.81667,                 0.1275,                0.08004,                 1.4114,                 3.2577,                 2.2437,               0.047644,               0.047644,               0.047644
                     31,                 1.4378,                 2.3484,                 1.9729,                0.68584,                0.06546,                0.07538,                0.04104,                 1.8959,                 3.5506,                 2.9455,               0.047476,               0.047476,               0.047476
                     32,                  1.435,                 2.3133,                 1.9752,                0.40938,                 0.1383,                 0.0906,                0.05451,                 1.6838,                 3.3775,                 2.5544,               0.047302,               0.047302,               0.047302
                     33,                 1.4048,                 2.3003,                 1.9508,                0.39994,                0.15647,                0.07926,                0.03621,                 1.8748,                  3.227,                 2.7711,               0.047123,               0.047123,               0.047123
                     34,                 1.3486,                  2.275,                 1.8812,                0.61799,                0.17122,                0.13534,                0.08413,                 1.4896,                  2.955,                 2.2063,               0.046939,               0.046939,               0.046939
                     35,                 1.3603,                  2.271,                 1.8729,                0.37646,                0.16519,                 0.0856,                0.03962,                 1.8032,                 5.9034,                 2.7155,               0.046749,               0.046749,               0.046749
                     36,                  1.358,                 2.2539,                 1.8896,                0.25579,                0.20154,                0.12561,                0.07567,                 1.7539,                 3.3665,                  2.615,               0.046553,               0.046553,               0.046553
                     37,                 1.3024,                 2.2019,                 1.8314,                0.60215,                0.16858,                 0.0964,                0.05027,                 1.4476,                 2.8413,                 2.2385,               0.046353,               0.046353,               0.046353
                     38,                  1.313,                 2.2066,                 1.8378,                0.45307,                0.17728,                0.09977,                0.05626,                 1.9761,                 3.6301,                 2.7172,               0.046147,               0.046147,               0.046147
                     39,                 1.2696,                 2.1786,                 1.7989,                 0.3591,                0.10642,                 0.0164,                 0.0082,                 2.2717,                 6.9812,                 3.6484,               0.045936,               0.045936,               0.045936
                     40,                 1.3001,                 2.2078,                 1.8394,                0.17926,                0.36737,                0.14655,                 0.0999,                  1.133,                 2.6393,                 1.8974,                0.04572,                0.04572,                0.04572
                     41,                 1.2476,                 2.1704,                 1.7692,                0.28602,                0.29669,                0.17807,                0.10332,                 1.7991,                  2.774,                 2.5214,               0.045499,               0.045499,               0.045499
                     42,                 1.2387,                 2.1521,                 1.7785,                0.31034,                0.44544,                0.15249,                0.10093,                 1.3149,                 2.3864,                 2.0706,               0.045273,               0.045273,               0.045273
                     43,                 1.1744,                 2.0987,                 1.7121,                 0.0451,                0.60288,                0.09353,                0.04885,                 1.8961,                  3.737,                 2.6824,               0.045042,               0.045042,               0.045042
                     44,                 1.1875,                 2.0715,                 1.7008,                0.27346,                0.19156,                0.11212,                 0.0638,                 1.5269,                 2.7752,                 2.2972,               0.044806,               0.044806,               0.044806
                     45,                  1.186,                 2.0942,                 1.7165,                0.19736,                0.40423,                0.12385,                0.07905,                 1.4192,                 2.7464,                 2.1568,               0.044566,               0.044566,               0.044566
                     46,                 1.2013,                 2.0778,                  1.716,                  0.436,                0.36519,                0.19774,                0.14253,                 1.1036,                 2.2831,                 1.8532,                0.04432,                0.04432,                0.04432
                     47,                 1.1808,                 2.0666,                 1.6961,                0.29724,                0.34664,                0.13197,                0.08882,                  1.175,                 2.4613,                 2.0057,                0.04407,                0.04407,                0.04407
                     48,                 1.1633,                 2.0702,                 1.6837,                0.34196,                0.47768,                0.16557,                0.12088,                  1.016,                 2.2043,                 1.7145,               0.043815,               0.043815,               0.043815
                     49,                 1.1899,                 2.0843,                 1.7032,                0.00533,                0.60541,                0.02274,                0.00908,                 2.5122,                 7.4138,                 3.9817,               0.043556,               0.043556,               0.043556
                     50,                 1.1178,                 2.0295,                 1.6421,                0.23844,                0.40844,                0.14941,                0.09517,                 1.4091,                  2.607,                 2.1197,               0.043292,               0.043292,               0.043292
                     51,                 1.1502,                 2.0174,                 1.6573,                0.31828,                0.43042,                0.18996,                0.13819,                  1.073,                 2.1405,                 1.7689,               0.043024,               0.043024,               0.043024
                     52,                 1.1611,                 2.0384,                 1.6627,                0.35397,                0.43583,                0.21031,                0.15328,                  1.065,                  2.066,                 1.6913,               0.042751,               0.042751,               0.042751
                     53,                 1.1289,                 2.0091,                 1.6431,                0.38066,                0.41059,                 0.2078,                0.13282,                 1.4326,                 2.8397,                 2.1014,               0.042474,               0.042474,               0.042474
                     54,                 1.0978,                 1.9505,                 1.6146,                0.30927,                0.29131,                0.11865,                0.07893,                   1.44,                 2.4104,                  2.361,               0.042193,               0.042193,               0.042193
                     55,                 1.1405,                 2.0337,                  1.672,                0.60226,                0.12478,                0.06191,                0.03028,                 2.1225,                 3.9717,                 3.1107,               0.041907,               0.041907,               0.041907
                     56,                 1.1398,                 2.0144,                 1.6508,                0.40768,                0.28905,                0.17527,                  0.119,                 1.3773,                 2.1704,                 2.1146,               0.041617,               0.041617,               0.041617
                     57,                 1.0893,                 1.9312,                 1.5986,                0.33846,                0.43077,                0.21524,                0.13213,                 1.3532,                 2.2169,                 1.9199,               0.041324,               0.041324,               0.041324
                     58,                 1.0706,                 1.9706,                 1.5993,                0.55462,                0.28834,                0.21756,                 0.1615,                  1.032,                 2.3763,                 1.8218,               0.041026,               0.041026,               0.041026
                     59,                 1.0473,                 1.9199,                 1.5692,                0.50305,                0.20506,                0.11191,                0.06849,                 1.7165,                 6.5904,                  2.556,               0.040725,               0.040725,               0.040725
                     60,                 1.0932,                 1.9574,                 1.5934,                0.20276,                0.43519,                0.19862,                0.13885,                 1.0158,                 2.2395,                 1.6872,               0.040419,               0.040419,               0.040419
                     61,                 1.0527,                 1.8831,                  1.561,                0.24862,                0.40234,                0.22268,                  0.146,                 1.3698,                 2.0745,                 2.0224,                0.04011,                0.04011,                0.04011
                     62,                  1.049,                 1.9042,                 1.5588,                0.50839,                0.25391,                 0.2047,                0.12278,                 1.2899,                 2.8743,                  2.049,               0.039798,               0.039798,               0.039798
                     63,                 1.0816,                 1.9042,                 1.5966,                0.28041,                0.28868,                0.11865,                0.07942,                 1.1904,                 3.3896,                 1.9524,               0.039481,               0.039481,               0.039481
                     64,                 1.0464,                 1.9259,                 1.5717,                0.62313,                0.13992,                0.11014,                0.07401,                 1.2542,                  3.654,                 1.9946,               0.039162,               0.039162,               0.039162
                     65,                 1.0251,                 1.8993,                 1.5404,                0.73704,                0.18301,                0.13765,                 0.0847,                 1.2775,                 3.9344,                 2.1385,               0.038838,               0.038838,               0.038838
                     66,                 1.0507,                 1.8961,                 1.5732,                0.48787,                0.42284,                0.38149,                0.25299,                0.96011,                 1.8478,                  1.609,               0.038512,               0.038512,               0.038512
                     67,                 1.0376,                  1.919,                  1.562,                0.54218,                0.37393,                 0.2369,                0.15824,                 1.1263,                 2.1925,                 1.7495,               0.038182,               0.038182,               0.038182
                     68,                0.99735,                 1.8491,                   1.52,                0.22576,                 0.4677,                0.22693,                0.15794,                0.93681,                 1.8796,                 1.6429,               0.037849,               0.037849,               0.037849
                     69,                  1.012,                   1.84,                 1.5452,                0.49822,                 0.2214,                0.12708,                0.07902,                 1.4129,                 4.4611,                 2.3061,               0.037513,               0.037513,               0.037513
                     70,                 1.0112,                 1.7939,                 1.5388,                0.55962,                 0.2547,                0.15614,                0.10836,                 1.1049,                  4.372,                  1.707,               0.037173,               0.037173,               0.037173
                     71,                 1.0343,                 1.8646,                  1.549,                0.19407,                0.36217,                0.12524,                0.07246,                 1.7199,                 2.9329,                 2.5945,               0.036831,               0.036831,               0.036831
                     72,                0.98927,                 1.8025,                 1.5162,                0.43461,                0.37116,                0.24697,                0.17664,                0.94194,                 1.7619,                 1.6912,               0.036486,               0.036486,               0.036486
                     73,                 1.0045,                 1.8499,                 1.5236,                0.45248,                0.43705,                0.25419,                0.17892,                0.93254,                 2.1614,                 1.5742,               0.036138,               0.036138,               0.036138
                     74,                0.98929,                 1.8116,                  1.522,                0.33894,                0.43225,                0.19852,                0.13159,                  1.341,                 2.0323,                 2.0804,               0.035788,               0.035788,               0.035788
                     75,                0.99535,                 1.7405,                 1.5195,                0.62022,                0.22693,                0.27514,                0.19106,                 1.1006,                 1.7599,                 1.8284,               0.035435,               0.035435,               0.035435
                     76,                0.95421,                 1.7552,                 1.4903,                0.20379,                0.31687,                0.19635,                0.14536,                0.93956,                 2.3049,                 1.6907,               0.035079,               0.035079,               0.035079
                     77,                0.96952,                 1.7578,                 1.4951,                0.28227,                0.39697,                0.26514,                0.20609,                0.97829,                  1.663,                  1.651,               0.034721,               0.034721,               0.034721
                     78,                0.99017,                 1.7991,                 1.5244,                0.33019,                0.60553,                0.16814,                0.11573,                0.97438,                 2.3167,                 1.7148,               0.034361,               0.034361,               0.034361
                     79,                0.95648,                 1.7835,                 1.4913,                0.29444,                0.19788,                0.14584,                0.08962,                 1.6439,                 2.6389,                 2.6529,               0.033999,               0.033999,               0.033999
                     80,                0.93901,                 1.7372,                 1.4879,                 0.2393,                0.53773,                0.17173,                0.12721,                  1.119,                 2.1524,                 1.8087,               0.033634,               0.033634,               0.033634
                     81,                0.96178,                 1.7398,                 1.4956,                0.31131,                0.25495,                0.18166,                0.12258,                 1.1757,                 2.2216,                 1.8779,               0.033267,               0.033267,               0.033267
                     82,                0.96066,                 1.7423,                 1.4917,                0.77091,                0.27496,                0.21747,                0.16013,                 1.1724,                 1.9229,                 1.8368,               0.032898,               0.032898,               0.032898
                     83,                0.97215,                 1.7638,                 1.4934,                0.48259,                0.37743,                0.27867,                0.18931,                 1.1444,                 2.0402,                 1.7277,               0.032527,               0.032527,               0.032527
                     84,                0.97421,                 1.7188,                 1.4973,                0.24381,                 0.3211,                 0.2696,                0.21199,                 1.0204,                 1.7838,                  1.753,               0.032155,               0.032155,               0.032155
                     85,                0.95442,                 1.7107,                  1.483,                0.57679,                0.34788,                0.27866,                0.20912,                0.92509,                 1.8345,                 1.6031,               0.031781,               0.031781,               0.031781
                     86,                0.93677,                 1.7387,                 1.4639,                 0.3414,                0.41714,                 0.2318,                0.16893,                0.90061,                 2.1149,                 1.6079,               0.031405,               0.031405,               0.031405
